property_name,total_area_sqft,price,rera_number,created_at
"4 BHK Flat for Sale in Thanisandra, Bangalore",2550.0,31600000.0,,2024-11-28 13:51:41.935767
"4 BHK Flat for Sale in Sarjapur Road, Bangalore",2145.0,21300000.0,,2024-11-28 13:51:41.937270
"4 BHK Flat for Sale in Hsr Layout, Bangalore",2350.0,81000000.0,,2024-11-28 13:51:41.937270
"3 BHK Flat for Sale in J P Nagar, Bangalore",1710.0,33900000.0,,2024-11-28 13:51:41.937270
"5 BHK Flat for Sale in Yelahanka, Bangalore",5947.0,96900000.0,,2024-11-28 13:51:41.938279
"3 BHK Flat for Sale in Panathur, Bangalore",1885.0,27400000.000000004,,2024-11-28 13:51:41.938279
"4 BHK Flat for Sale in Rachenahalli, Thanisandra, Bangalore",2120.0,23800000.0,,2024-11-28 13:51:41.938279
"4 BHK Flat for Sale in Thanisandra, Bangalore",2655.0,32900000.0,,2024-11-28 13:51:41.939247
"4 BHK Flat for Sale in Whitefield, Bangalore",2211.0,47500000.0,,2024-11-28 13:51:41.939247
"4 BHK Flat for Sale in Sarjapura, Bangalore",3323.0,47800000.0,,2024-11-28 13:51:45.415670
"2 BHK Flat for Sale in Hennur Main Road, Bangalore",1131.0,11299999.999999998,,2024-11-28 13:51:45.415670
"4 BHK Flat for Sale in Banashankari, Bangalore",3024.0,37000000.0,,2024-11-28 13:51:45.415670
"3 BHK Flat for Sale in Sarjapur Road, Bangalore",1509.0,18600000.0,,2024-11-28 13:51:45.416675
"5 BHK Flat for Sale in Varthur, Bangalore",3892.0,55199999.99999999,,2024-11-28 13:51:45.416675
"4 BHK Flat for Sale in Varthur, Bangalore",2533.0,36900000.0,,2024-11-28 13:51:45.416675
"3 BHK Flat for Sale in Sarjapur Road, Bangalore",1509.0,18600000.0,,2024-11-28 13:51:45.417679
"4 BHK Flat for Sale in Whitefield, Bangalore",2218.0,48800000.0,,2024-11-28 13:51:45.417679
"4 BHK Flat for Sale in Rajajinagar, Bangalore",3612.0,115100000.0,,2024-11-28 13:51:45.418184
"5 BHK Flat for Sale in Whitefield, Bangalore",1962.0,26200000.0,,2024-11-28 13:51:45.418184
"4 BHK Flat for Sale in Banashankari, Bangalore",3024.0,37000000.0,,2024-11-28 13:51:45.418184
"4 BHK Flat for Sale in Indiranagar, Bangalore",3230.0,72000000.0,,2024-11-28 13:51:45.419190
"4 BHK Flat for Sale in Hosur Road, Bangalore",2363.0,25299999.999999996,,2024-11-28 13:51:45.419190
"3 BHK Flat for Sale in HAL Old Airport Road, Bangalore",3099.0,82899999.99999999,,2024-11-28 13:51:45.419190
"4 BHK Flat for Sale in RR Nagar, Bangalore",2800.0,28000000.0,,2024-11-28 13:51:45.420191
"4 BHK Flat for Sale in Whitefield, Bangalore",2560.0,35700000.0,,2024-11-28 13:51:45.420191
"5 BHK Flat for Sale in Varthur, Bangalore",3892.0,55199999.99999999,,2024-11-28 13:51:45.420191
"4 BHK Flat for Sale in Whitefield, Bangalore",2211.0,47500000.0,,2024-11-28 13:51:45.421189
"3 BHK Flat for Sale in Sarjapur Road, Bangalore",2151.0,15300000.0,,2024-11-28 13:51:45.421189
"3 BHK Flat for Sale in Panathur, Bangalore",1885.0,27400000.000000004,,2024-11-28 13:51:45.421189
"3 BHK Flat for Sale in Thanisandra Main Road, Bangalore",1570.0,9830000.0,,2024-11-28 13:51:45.422189
"3 BHK Flat for Sale in Panathur, Bangalore",1789.0,26700000.0,,2024-11-28 13:51:45.422189
"4 BHK Flat for Sale in Kogilu Main Road, Bangalore",2464.0,26600000.0,,2024-11-28 13:51:45.422189
"4 BHK Flat for Sale in Varthur, Bangalore",2401.0,34000000.0,,2024-11-28 13:51:45.423195
"3 BHK Flat for Sale in Rajanukunte, Bangalore",1755.0,12000000.0,,2024-11-28 13:51:45.423195
"2 BHK Flat for Sale in RR Nagar, Bangalore",950.0,14000000.0,,2024-11-28 13:51:45.423195
"3 BHK Flat for Sale in Bagaluru, Bangalore",1281.0,9600000.0,,2024-11-28 13:51:45.424191
"4 BHK Flat for Sale in Rachenahalli, Thanisandra, Bangalore",2120.0,23800000.0,,2024-11-28 13:51:45.424191
"3 BHK Flat for Sale in RR Nagar, Bangalore",1531.0,13899999.999999998,,2024-11-28 13:51:45.424191
"3 BHK Flat for Sale in Koramangala, Bangalore",2889.0,39500000.0,,2024-11-28 13:51:45.425189
"4 BHK Flat for Sale in Supreme Villagio, Somatane, Pune",4600.0,68400000.0,,2024-11-28 13:51:56.289822
