builder_name,rera_id,created_at
The Ornate,,2024-11-28 13:51:56.298593
Mantra Magnus,,2024-11-28 13:51:56.299598
K Shire,,2024-11-28 13:51:56.299598
Unknown Builder,,2024-11-28 13:52:12.990650
Unknown Builder,,2024-11-28 13:52:12.990650
Unknown Builder,,2024-11-28 13:52:12.990650
Unknown Builder,,2024-11-28 13:52:12.992398
Unknown Builder,,2024-11-28 13:52:12.992398
Unknown Builder,,2024-11-28 13:52:12.992398
Unknown Builder,,2024-11-28 13:52:12.993702
Unknown Builder,,2024-11-28 13:52:12.994206
Unknown Builder,,2024-11-28 13:52:12.994206
Unknown Builder,,2024-11-28 13:52:12.994206
Unknown Builder,,2024-11-28 13:52:12.994206
Unknown Builder,,2024-11-28 13:52:12.994206
Unknown Builder,,2024-11-28 13:52:12.994206
Unknown Builder,,2024-11-28 13:52:12.994206
Unknown Builder,,2024-11-28 13:52:12.994206
Fomra Hues ,,2024-11-28 13:52:12.997709
DRA Beena Clover,,2024-11-28 13:52:12.997709
Bollineni ZION,,2024-11-28 13:52:12.998223
Provident Bayscape,,2024-11-28 13:52:12.998223
Unknown Builder,,2024-11-28 13:52:12.999338
Unknown Builder,,2024-11-28 13:52:12.999338
Unknown Builder,,2024-11-28 13:52:12.999338
Unknown Builder,,2024-11-28 13:52:12.999338
Unknown Builder,,2024-11-28 13:52:13.000868
Unknown Builder,,2024-11-28 13:52:13.000868
Unknown Builder,,2024-11-28 13:52:13.001889
Unknown Builder,,2024-11-28 13:52:13.001889
Unknown Builder,,2024-11-28 13:52:13.001889
Unknown Builder,,2024-11-28 13:52:13.001889
Unknown Builder,,2024-11-28 13:52:13.001889
Unknown Builder,,2024-11-28 13:52:22.101791
Unknown Builder,,2024-11-28 13:52:22.101791
Merlin Rise Sports Republic Phase 1 A,,2024-11-28 13:52:22.102821
Dream Gurukul,,2024-11-28 13:52:22.102821
Sansara,,2024-11-28 13:52:22.102821
The Pride,,2024-11-28 13:52:22.103829
JPK Swati Abha,,2024-11-28 13:52:22.103829
Sansara,,2024-11-28 13:52:22.103829
Sansara,,2024-11-28 13:52:22.104860
Bitasta Residency,,2024-11-28 13:52:22.105369
Merlin Rise Sports Republic Phase 1 A,,2024-11-28 13:52:22.105369
Siddha Serena,,2024-11-28 13:52:22.105369
Merlin Rise Sports Republic Phase 1 A,,2024-11-28 13:52:22.106374
Elevate at Godrej Seven,,2024-11-28 13:52:22.106374
Navya,,2024-11-28 13:52:22.106374
Suncrest Estate,,2024-11-28 13:52:22.107379
Vinayak Amara,,2024-11-28 13:52:22.107883
PS Vaanya,,2024-11-28 13:52:22.107883
Siddha Serena,,2024-11-28 13:52:22.108421
Rajwada Luxuria,,2024-11-28 13:52:22.108421
Emami Aamod,,2024-11-28 13:52:22.108421
Optima Phase 1,,2024-11-28 13:52:22.109358
Emami Aamod,,2024-11-28 13:52:22.109875
Vinayak Amara,,2024-11-28 13:52:22.109875
ONE10,,2024-11-28 13:52:22.109875
GRK Ivana,,2024-11-28 13:52:22.110880
DTC Sojon,,2024-11-28 13:52:22.110880
Vinayak Amara,,2024-11-28 13:52:22.110880
DTC Capital City,,2024-11-28 13:52:22.111880
Siddha Serena,,2024-11-28 13:52:22.111880
Unknown Builder,,2024-11-28 13:52:30.307436
Kavisha The Portrait,,2024-11-28 13:52:30.307436
THE REGAL,,2024-11-28 13:52:30.308443
Ideal Imbert,,2024-11-28 13:52:30.308443
Vishakha Empyrean,,2024-11-28 13:52:30.308952
Dev Param,,2024-11-28 13:52:30.308952
World Trade Tower,,2024-11-28 13:52:30.308952
Saiyamm Apricus 2,,2024-11-28 13:52:30.309957
Riviera Palacio,,2024-11-28 13:52:30.309957
Elenza Gradient,,2024-11-28 13:52:30.309957
Rajshree Regalia,,2024-11-28 13:52:30.310956
VR Reflection,,2024-11-28 13:52:30.310956
Saayam,,2024-11-28 13:52:30.310956
Artiz Arcelia,,2024-11-28 13:52:30.311956
The Emberlynn,,2024-11-28 13:52:30.311956
Kavisha The Portrait,,2024-11-28 13:52:30.311956
Elenza Gradient,,2024-11-28 13:52:30.312956
Shilp Residency,,2024-11-28 13:52:30.313461
Green Park,,2024-11-28 13:52:30.313461
Eklingji satvam,,2024-11-28 13:52:30.313461
VR Reflection,,2024-11-28 13:52:30.314466
HR Eliseo,,2024-11-28 13:52:30.314466
Ideal Imprint,,2024-11-28 13:52:30.314466
Shantam Parmeshwar,,2024-11-28 13:52:30.315466
Sun Urban Park,,2024-11-28 13:52:30.315466
Venus Pashmina,,2024-11-28 13:52:30.315466
HR Eliseo,,2024-11-28 13:52:30.316466
THE REGAL,,2024-11-28 13:52:30.316466
Times 40,,2024-11-28 13:52:30.316466
Ivory Orchards,,2024-11-28 13:52:30.317466
