state_name,city_name,locality_name,pin_code,created_at
Karnataka,Bangalore,Sobha Neopolis,,2024-11-28 13:51:45.421189
Karnataka,Bangalore,Srikara Green Edge,,2024-11-28 13:51:45.422189
Karnataka,Bangalore,Sobha Ayana at Dream Acres,,2024-11-28 13:51:45.422189
Karnataka,Bangalore,Nikoo Homes VI Phase 2,,2024-11-28 13:51:45.422189
Karnataka,Bangalore,Prestige Raintree Park,,2024-11-28 13:51:45.423195
Karnataka,Bangalore,Shriram Serenity,,2024-11-28 13:51:45.423195
Karnataka,Bangalore,Birla Ojasvi,,2024-11-28 13:51:45.423195
Karnataka,Bangalore,Provident Ecopolitan,,2024-11-28 13:51:45.424191
Karnataka,Bangalore,Sumadhura Epitome,,2024-11-28 13:51:45.424191
Karnataka,Bangalore,Elegant Tranquility,,2024-11-28 13:51:45.424191
Karnataka,Bangalore,Pacifica Hamilton Tower,,2024-11-28 13:51:45.425189
Maharashtra,Pune,Supreme Villagio,,2024-11-28 13:51:56.289822
Maharashtra,Pune,The Trinity,,2024-11-28 13:51:56.289822
Maharashtra,Pune,Yashwin Enchante,,2024-11-28 13:51:56.289822
Maharashtra,Pune,Puneville,,2024-11-28 13:51:56.290818
Maharashtra,Pune,Life Republic Sector R22 Avenue Atmos,,2024-11-28 13:51:56.290818
Maharashtra,Pune,Venkatesh Laurel,,2024-11-28 13:51:56.290818
Maharashtra,Pune,Puneville,,2024-11-28 13:51:56.290818
Maharashtra,Pune,Renuka Panch Tattva,,2024-11-28 13:51:56.292322
Maharashtra,Pune,Kumar Parc Residences,,2024-11-28 13:51:56.292322
Maharashtra,Pune,Pride Wellington,,2024-11-28 13:51:56.292322
Maharashtra,Pune,Seraph Supremus B Wing,,2024-11-28 13:51:56.293329
Maharashtra,Pune,24K Manor,,2024-11-28 13:51:56.293329
Maharashtra,Pune,The Canary,,2024-11-28 13:51:56.293329
Maharashtra,Pune,Bramha the Collection,,2024-11-28 13:51:56.294327
Maharashtra,Pune,Life Republic Aros,,2024-11-28 13:51:56.294327
Maharashtra,Pune,K PUNE,,2024-11-28 13:51:56.294327
Maharashtra,Pune,Kohinoor Riverdale,,2024-11-28 13:51:56.295579
Maharashtra,Pune,Supreme Towers,,2024-11-28 13:51:56.295579
Maharashtra,Pune,Joyville Celestia,,2024-11-28 13:51:56.295579
Maharashtra,Pune,The Gale at Godrej Park World,,2024-11-28 13:51:56.296585
Maharashtra,Pune,VTP Altair,,2024-11-28 13:51:56.296585
Maharashtra,Pune,VTP Dolce Vita,,2024-11-28 13:51:56.296585
Maharashtra,Pune,Rohan Nidita,,2024-11-28 13:51:56.297584
Maharashtra,Pune,Life Republic Sector R22 Avenue Atmos,,2024-11-28 13:51:56.298089
Maharashtra,Pune,Zenistry,,2024-11-28 13:51:56.298089
Maharashtra,Pune,Yoo One,,2024-11-28 13:51:56.298593
Maharashtra,Pune,Osian Almanova,,2024-11-28 13:51:56.298593
Maharashtra,Pune,The Ornate,,2024-11-28 13:51:56.298593
Maharashtra,Pune,Mantra Magnus,,2024-11-28 13:51:56.299598
Maharashtra,Pune,K Shire,,2024-11-28 13:51:56.299598
Tamil Nadu,Chennai,Risington Phase 2,,2024-11-28 13:52:12.990650
Tamil Nadu,Chennai,MF Mithra,,2024-11-28 13:52:12.990650
Tamil Nadu,Chennai,Aishwaryam Majestica,,2024-11-28 13:52:12.990650
Tamil Nadu,Chennai,Provident Bayscape,,2024-11-28 13:52:12.992398
Tamil Nadu,Chennai,Chenthurs Taras,,2024-11-28 13:52:12.992398
Tamil Nadu,Chennai,RC Meadows,,2024-11-28 13:52:12.992398
Tamil Nadu,Chennai,Hitech Pushpam,,2024-11-28 13:52:12.993702
Tamil Nadu,Chennai,VRX Magna,,2024-11-28 13:52:12.994206
Tamil Nadu,Chennai,Pace Anusa,,2024-11-28 13:52:12.994206
Tamil Nadu,Chennai,Kochar Jewel,,2024-11-28 13:52:12.994206
Tamil Nadu,Chennai,Nest Mojo,,2024-11-28 13:52:12.994206
Tamil Nadu,Chennai,Jains Aadhya,,2024-11-28 13:52:12.994206
Tamil Nadu,Chennai,The Ace,,2024-11-28 13:52:12.994206
Tamil Nadu,Chennai,Avittam Adiyogi,,2024-11-28 13:52:12.994206
Tamil Nadu,Chennai,Param,,2024-11-28 13:52:12.994206
Tamil Nadu,Chennai,Fomra Hues,,2024-11-28 13:52:12.997709
Tamil Nadu,Chennai,DRA Beena Clover,,2024-11-28 13:52:12.997709
Tamil Nadu,Chennai,Bollineni ZION,,2024-11-28 13:52:12.998223
Tamil Nadu,Chennai,Provident Bayscape,,2024-11-28 13:52:12.998223
Tamil Nadu,Chennai,Alpha Signature,,2024-11-28 13:52:12.999338
Tamil Nadu,Chennai,Serene,,2024-11-28 13:52:12.999338
Tamil Nadu,Chennai,Appaswamy Haridra,,2024-11-28 13:52:12.999338
Tamil Nadu,Chennai,KG North Bay,,2024-11-28 13:52:12.999338
Tamil Nadu,Chennai,Marina Residences,,2024-11-28 13:52:13.000868
Tamil Nadu,Chennai,Alamo XS Real Tuscany,,2024-11-28 13:52:13.000868
Tamil Nadu,Chennai,Aura By Hirani,,2024-11-28 13:52:13.001889
Tamil Nadu,Chennai,DAC Marshal,,2024-11-28 13:52:13.001889
Tamil Nadu,Chennai,Ayyan Aathmika,,2024-11-28 13:52:13.001889
Tamil Nadu,Chennai,Sagar Palace,,2024-11-28 13:52:13.001889
Tamil Nadu,Chennai,Adroit Prosper,,2024-11-28 13:52:13.001889
West Bengal,Kolkata,Navyug Magnolia,,2024-11-28 13:52:22.101791
West Bengal,Kolkata,Urbana Phase 2,,2024-11-28 13:52:22.101791
West Bengal,Kolkata,Merlin Rise Sports Republic Phase 1 A,,2024-11-28 13:52:22.102821
West Bengal,Kolkata,Dream Gurukul,,2024-11-28 13:52:22.102821
West Bengal,Kolkata,Sansara,,2024-11-28 13:52:22.102821
West Bengal,Kolkata,The Pride,,2024-11-28 13:52:22.103829
West Bengal,Kolkata,JPK Swati Abha,,2024-11-28 13:52:22.103829
West Bengal,Kolkata,Sansara,,2024-11-28 13:52:22.103829
West Bengal,Kolkata,Sansara,,2024-11-28 13:52:22.104860
West Bengal,Kolkata,Bitasta Residency,,2024-11-28 13:52:22.105369
West Bengal,Kolkata,Merlin Rise Sports Republic Phase 1 A,,2024-11-28 13:52:22.105369
West Bengal,Kolkata,Siddha Serena,,2024-11-28 13:52:22.105369
West Bengal,Kolkata,Merlin Rise Sports Republic Phase 1 A,,2024-11-28 13:52:22.106374
West Bengal,Kolkata,Elevate at Godrej Seven,,2024-11-28 13:52:22.106374
West Bengal,Kolkata,Navya,,2024-11-28 13:52:22.106374
West Bengal,Kolkata,Suncrest Estate,,2024-11-28 13:52:22.107379
West Bengal,Kolkata,Vinayak Amara,,2024-11-28 13:52:22.107883
West Bengal,Kolkata,PS Vaanya,,2024-11-28 13:52:22.107883
West Bengal,Kolkata,Siddha Serena,,2024-11-28 13:52:22.108421
West Bengal,Kolkata,Rajwada Luxuria,,2024-11-28 13:52:22.108421
West Bengal,Kolkata,Emami Aamod,,2024-11-28 13:52:22.108421
West Bengal,Kolkata,Optima Phase 1,,2024-11-28 13:52:22.109358
West Bengal,Kolkata,Emami Aamod,,2024-11-28 13:52:22.109875
West Bengal,Kolkata,Vinayak Amara,,2024-11-28 13:52:22.109875
West Bengal,Kolkata,PS ONE10,,2024-11-28 13:52:22.109875
West Bengal,Kolkata,GRK Ivana,,2024-11-28 13:52:22.110880
West Bengal,Kolkata,DTC Sojon,,2024-11-28 13:52:22.110880
West Bengal,Kolkata,Vinayak Amara,,2024-11-28 13:52:22.110880
West Bengal,Kolkata,DTC Capital City,,2024-11-28 13:52:22.111880
West Bengal,Kolkata,Siddha Serena,,2024-11-28 13:52:22.111880
Gujarat,Ahmedabad,RJ Pashmina,,2024-11-28 13:52:30.307436
